"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 12 11:32:21 GMT 2023","Fri May 12 11:32:22 GMT 2023","254","","reqres.home_work.GetUsersIdTest","","reqres.home_work.GetUsersIdTest","successfulCheckText","Проверка поля text [9] 9","Проверяем, что у каждого пользователя поле text начинается с To keep ReqRes free"
"failed","Fri May 12 11:32:23 GMT 2023","Fri May 12 11:32:24 GMT 2023","1053","","reqres.home_work.PutUpdateTest","","reqres.home_work.PutUpdateTest","unsuccessfulUpdateUser","Неуспешное обновление полей name и job у пользователя","Обновляем поля name и job у пользователя"
"passed","Fri May 12 11:32:20 GMT 2023","Fri May 12 11:32:20 GMT 2023","95","","reqres.home_work.GetUsersIdTest","","reqres.home_work.GetUsersIdTest","successfulCheckText","Проверка поля text [3] 3","Проверяем, что у каждого пользователя поле text начинается с To keep ReqRes free"
"passed","Fri May 12 11:32:20 GMT 2023","Fri May 12 11:32:21 GMT 2023","90","","reqres.home_work.GetUsersIdTest","","reqres.home_work.GetUsersIdTest","successfulCheckText","Проверка поля text [4] 4","Проверяем, что у каждого пользователя поле text начинается с To keep ReqRes free"
"passed","Fri May 12 11:32:21 GMT 2023","Fri May 12 11:32:21 GMT 2023","260","","reqres.home_work.GetUsersIdTest","","reqres.home_work.GetUsersIdTest","successfulCheckText","Проверка поля text [8] 8","Проверяем, что у каждого пользователя поле text начинается с To keep ReqRes free"
"passed","Fri May 12 11:32:24 GMT 2023","Fri May 12 11:32:24 GMT 2023","265","","reqres.home_work.DeleteUserTest","","reqres.home_work.DeleteUserTest","successfulDelUser","Успешное удаление пользователя [1] 1","Удаляем пользователей с id, передаваемыми в методе"
"passed","Fri May 12 11:32:20 GMT 2023","Fri May 12 11:32:20 GMT 2023","108","","reqres.home_work.GetUsersIdTest","","reqres.home_work.GetUsersIdTest","successfulCheckText","Проверка поля text [2] 2","Проверяем, что у каждого пользователя поле text начинается с To keep ReqRes free"
"passed","Fri May 12 11:32:24 GMT 2023","Fri May 12 11:32:24 GMT 2023","294","","reqres.home_work.PutUpdateTest","","reqres.home_work.PutUpdateTest","successfulUpdateUser","Успешное обновление полей name и job у пользователя","Обновляем поля name и job у пользователя"
"passed","Fri May 12 11:32:24 GMT 2023","Fri May 12 11:32:24 GMT 2023","251","","reqres.home_work.DeleteUserTest","","reqres.home_work.DeleteUserTest","successfulDelUser","Успешное удаление пользователя [2] 2","Удаляем пользователей с id, передаваемыми в методе"
"passed","Fri May 12 11:32:25 GMT 2023","Fri May 12 11:32:26 GMT 2023","253","","reqres.home_work.PostRegisterTest","","reqres.home_work.PostRegisterTest","successfulRegUser","Успешная регистрация пользователя","Регистрируем пользователя под передаваемымми в запросе email и password"
