"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 12 11:32:20 GMT 2023","Fri May 12 11:32:20 GMT 2023","109","","reqres.home_work.GetUsersIdTest","","reqres.home_work.GetUsersIdTest","successfulCheckText","Проверка поля text [1] 1","Проверяем, что у каждого пользователя поле text начинается с To keep ReqRes free"
"passed","Fri May 12 11:32:22 GMT 2023","Fri May 12 11:32:22 GMT 2023","266","","reqres.home_work.GetUsersIdTest","","reqres.home_work.GetUsersIdTest","successfulCheckText","Проверка поля text [10] 10","Проверяем, что у каждого пользователя поле text начинается с To keep ReqRes free"
"passed","Fri May 12 11:32:22 GMT 2023","Fri May 12 11:32:23 GMT 2023","247","","reqres.home_work.GetUsersIdTest","","reqres.home_work.GetUsersIdTest","successfulCheckText","Проверка поля text [12] 12","Проверяем, что у каждого пользователя поле text начинается с To keep ReqRes free"
"passed","Fri May 12 11:32:21 GMT 2023","Fri May 12 11:32:21 GMT 2023","285","","reqres.home_work.GetUsersIdTest","","reqres.home_work.GetUsersIdTest","successfulCheckText","Проверка поля text [6] 6","Проверяем, что у каждого пользователя поле text начинается с To keep ReqRes free"
"failed","Fri May 12 11:32:25 GMT 2023","Fri May 12 11:32:25 GMT 2023","245","","reqres.home_work.DeleteUserTest","","reqres.home_work.DeleteUserTest","unsuccessfulDelUser","Неуспешное удаление пользователя [2] 202","Неуспешное удаление пользователя"
"failed","Fri May 12 11:32:16 GMT 2023","Fri May 12 11:32:20 GMT 2023","4072","","reqres.home_work.GetUsersIdTest","","reqres.home_work.GetUsersIdTest","unsuccessfulCheckEMail","Проверка доменного имени почты","Проверяем, что у каждого пользователя поле email заканчивается на  @mail.ru"
"passed","Fri May 12 11:32:22 GMT 2023","Fri May 12 11:32:22 GMT 2023","252","","reqres.home_work.GetUsersIdTest","","reqres.home_work.GetUsersIdTest","successfulCheckText","Проверка поля text [11] 11","Проверяем, что у каждого пользователя поле text начинается с To keep ReqRes free"
"passed","Fri May 12 11:32:21 GMT 2023","Fri May 12 11:32:21 GMT 2023","78","","reqres.home_work.GetUsersIdTest","","reqres.home_work.GetUsersIdTest","successfulCheckText","Проверка поля text [5] 5","Проверяем, что у каждого пользователя поле text начинается с To keep ReqRes free"
"failed","Fri May 12 11:32:25 GMT 2023","Fri May 12 11:32:25 GMT 2023","269","","reqres.home_work.PostRegisterTest","","reqres.home_work.PostRegisterTest","unsuccessfulRegUser","Неуспешная регистрация пользователя","Регистрируем пользователя под передаваемымми в запросе email и password"
"passed","Fri May 12 11:32:21 GMT 2023","Fri May 12 11:32:21 GMT 2023","274","","reqres.home_work.GetUsersIdTest","","reqres.home_work.GetUsersIdTest","successfulCheckText","Проверка поля text [7] 7","Проверяем, что у каждого пользователя поле text начинается с To keep ReqRes free"
"failed","Fri May 12 11:32:24 GMT 2023","Fri May 12 11:32:25 GMT 2023","250","","reqres.home_work.DeleteUserTest","","reqres.home_work.DeleteUserTest","unsuccessfulDelUser","Неуспешное удаление пользователя [1] 31","Неуспешное удаление пользователя"
